Variable,Value
e_0,1.0
e_1,1.0
e_10,1.0
e_100,1.0
e_1000,1.0
e_1001,1.0
e_1002,1.0
e_1003,1.0
e_1004,1.0
e_1005,1.0
e_1006,1.0
e_1007,1.0
e_1008,1.0
e_1009,1.0
e_101,1.0
e_1010,1.0
e_1011,1.0
e_1012,1.0
e_1013,1.0
e_1014,1.0
e_1015,1.0
e_1016,1.0
e_1017,1.0
e_1018,1.0
e_1019,1.0
e_102,1.0
e_1020,1.0
e_1021,1.0
e_1022,1.0
e_1023,1.0
e_1024,1.0
e_1025,1.0
e_1026,1.0
e_1027,1.0
e_1028,1.0
e_1029,1.0
e_103,1.0
e_1030,1.0
e_1031,1.0
e_1032,1.0
e_1033,1.0
e_1034,1.0
e_1035,1.0
e_1036,1.0
e_1037,1.0
e_1038,1.0
e_1039,1.0
e_104,1.0
e_1040,1.0
e_1041,1.0
e_1042,1.0
e_1043,1.0
e_1044,1.0
e_1045,1.0
e_1046,1.0
e_1047,1.0
e_1048,1.0
e_1049,1.0
e_105,1.0
e_1050,1.0
e_1051,1.0
e_1052,1.0
e_1053,1.0
e_1054,1.0
e_1055,1.0
e_1056,1.0
e_1057,1.0
e_1058,1.0
e_1059,1.0
e_106,1.0
e_1060,1.0
e_1061,1.0
e_1062,1.0
e_1063,1.0
e_1064,1.0
e_1065,1.0
e_1066,1.0
e_1067,1.0
e_1068,1.0
e_1069,1.0
e_107,1.0
e_1070,1.0
e_1071,1.0
e_1072,1.0
e_1073,1.0
e_1074,1.0
e_1075,1.0
e_1076,1.0
e_1077,1.0
e_1078,1.0
e_1079,1.0
e_108,1.0
e_1080,1.0
e_1081,1.0
e_1082,1.0
e_1083,1.0
e_1084,1.0
e_1085,1.0
e_1086,1.0
e_1087,1.0
e_1088,1.0
e_1089,1.0
e_109,1.0
e_1090,1.0
e_1091,1.0
e_1092,1.0
e_1093,1.0
e_1094,1.0
e_1095,1.0
e_1096,1.0
e_1097,1.0
e_1098,1.0
e_1099,1.0
e_11,1.0
e_110,1.0
e_1100,1.0
e_1101,1.0
e_1102,1.0
e_1103,1.0
e_1104,1.0
e_1105,1.0
e_1106,1.0
e_1107,1.0
e_1108,1.0
e_1109,1.0
e_111,1.0
e_1110,1.0
e_1111,1.0
e_1112,1.0
e_1113,1.0
e_1114,1.0
e_1115,1.0
e_1116,1.0
e_1117,1.0
e_1118,1.0
e_1119,1.0
e_112,1.0
e_1120,1.0
e_1121,1.0
e_1122,1.0
e_1123,1.0
e_1124,1.0
e_1125,1.0
e_1126,1.0
e_1127,1.0
e_1128,1.0
e_1129,1.0
e_113,1.0
e_1130,1.0
e_1131,1.0
e_1132,1.0
e_1133,1.0
e_1134,1.0
e_1135,1.0
e_1136,1.0
e_1137,1.0
e_1138,1.0
e_1139,1.0
e_114,1.0
e_1140,1.0
e_1141,1.0
e_1142,1.0
e_1143,1.0
e_1144,1.0
e_1145,1.0
e_1146,1.0
e_1147,1.0
e_1148,1.0
e_1149,1.0
e_115,1.0
e_1150,1.0
e_1151,1.0
e_1152,1.0
e_1153,1.0
e_1154,1.0
e_1155,1.0
e_1156,1.0
e_1157,1.0
e_1158,1.0
e_1159,1.0
e_116,1.0
e_1160,1.0
e_1161,1.0
e_1162,1.0
e_1163,1.0
e_1164,1.0
e_1165,1.0
e_1166,1.0
e_1167,1.0
e_1168,1.0
e_1169,1.0
e_117,1.0
e_1170,1.0
e_1171,1.0
e_1172,1.0
e_1173,1.0
e_1174,1.0
e_1175,1.0
e_1176,1.0
e_1177,1.0
e_1178,1.0
e_1179,1.0
e_118,1.0
e_1180,1.0
e_1181,1.0
e_1182,1.0
e_1183,1.0
e_1184,1.0
e_1185,1.0
e_1186,1.0
e_1187,1.0
e_1188,1.0
e_1189,1.0
e_119,1.0
e_1190,1.0
e_1191,1.0
e_1192,1.0
e_1193,1.0
e_1194,1.0
e_1195,1.0
e_1196,1.0
e_1197,1.0
e_1198,1.0
e_1199,1.0
e_12,1.0
e_120,1.0
e_1200,1.0
e_1201,1.0
e_1202,1.0
e_1203,1.0
e_1204,1.0
e_1205,1.0
