npoints,nedges
800,1500
1,7
1,10
1,12
1,13
1,14
1,15
1,20
1,21
1,23
1,24
1,27
1,31
1,34
1,38
1,40
1,77
1,89
1,97
1,109
1,112
1,122
1,145
1,154
1,155
1,156
1,159
1,171
1,178
1,197
1,200
1,202
1,234
1,235
1,256
1,279
1,288
1,304
1,308
1,324
1,331
1,349
1,353
1,363
1,377
1,382
1,392
1,400
1,401
1,410
1,424
1,444
1,471
1,476
1,533
1,538
1,579
1,580
1,605
1,647
1,670
1,685
1,731
1,766
1,2
1,3
1,4
1,5
1,6
1,8
1,9
1,11
1,35
1,93
1,101
1,127
1,168
1,190
1,207
1,217
1,227
1,236
1,250
1,259
1,368
1,385
1,402
1,468
1,559
1,711
1,728
1,739
1,754
2,8
2,23
2,51
2,161
2,377
2,444
2,483
2,638
2,710
2,3
2,4
2,9
2,11
2,32
2,61
2,92
2,187
2,247
2,310
2,563
2,711
2,763
2,766
3,11
3,29
3,55
3,64
3,68
3,76
3,91
3,139
3,147
3,170
3,186
3,221
3,301
3,393
3,425
3,435
3,518
3,521
3,635
3,680
3,4
3,5
3,7
3,8
3,10
3,13
3,14
3,15
3,17
3,18
3,19
3,20
3,26
3,27
3,30
3,32
3,40
3,45
3,54
3,62
3,69
3,100
3,101
3,126
3,174
3,183
3,184
3,185
3,189
3,202
3,217
3,234
3,247
3,248
3,271
3,304
3,308
3,313
3,314
3,328
3,333
3,355
3,361
3,373
3,375
3,398
3,400
3,407
3,419
3,427
3,445
3,447
3,451
3,464
3,470
3,482
3,486
3,494
3,526
3,545
3,559
3,567
3,601
3,609
3,631
3,643
3,645
3,670
3,717
3,722
3,733
3,737
3,742
3,768
4,8
4,11
4,17
4,18
4,21
4,23
4,26
4,27
4,30
4,44
4,45
4,47
4,51
4,57
4,62
4,69
4,72
4,79
4,81
4,115
4,118
4,122
4,135
4,154
4,168
4,182
4,188
4,199
4,231
4,233
4,246
4,280
4,308
4,319
4,349
4,389
4,393
4,411
4,427
4,432
4,483
4,492
4,493
4,505
4,510
4,518
4,529
4,574
4,578
4,610
4,661
4,663
4,720
4,734
4,775
4,780
4,791
4,5
4,6
4,7
4,9
4,22
4,24
4,29
4,32
4,35
4,36
4,48
4,49
4,52
4,56
4,70
4,85
4,93
4,109
4,119
4,134
4,143
4,155
4,163
4,170
4,174
4,177
4,186
4,187
4,193
4,200
4,214
4,218
4,235
4,259
4,278
4,310
4,340
4,350
4,354
4,365
4,379
4,385
4,401
4,406
4,418
4,439
4,442
4,456
4,460
4,466
4,490
4,491
4,509
4,536
4,537
4,543
4,556
4,588
4,612
4,680
4,685
4,686
4,697
4,709
4,717
4,722
4,745
4,751
4,753
4,763
4,773
4,788
5,14
5,19
5,37
5,42
5,46
5,55
5,57
5,58
5,59
5,60
5,68
5,86
5,88
5,91
5,105
5,111
5,121
5,130
5,132
5,136
5,139
5,155
5,166
5,229
5,267
5,275
5,279
5,294
5,313
5,360
5,361
5,367
5,429
5,518
5,537
5,560
5,574
5,797
5,584
5,587
5,591
5,634
5,637
5,667
5,680
5,716
5,750
5,6
5,7
5,8
5,10
5,12
5,13
5,16
5,21
5,23
5,24
5,25
5,26
5,29
5,38
5,47
5,50
5,66
5,76
5,95
5,107
5,109
5,119
5,146
5,151
5,167
5,204
5,209
5,239
5,258
5,262
5,264
5,286
5,289
5,301
5,344
5,394
5,397
5,413
5,434
5,485
5,492
5,495
5,496
5,607
5,610
5,612
5,622
5,701
5,754
5,792
6,9
6,10
6,13
6,14
6,18
6,20
6,25
6,28
6,30
6,33
6,45
6,48
6,49
6,57
6,60
6,63
6,65
6,78
6,87
6,89
6,103
6,125
6,129
6,152
6,164
6,168
6,172
6,206
6,237
6,265
6,307
6,449
6,462
6,464
6,489
6,509
6,510
6,517
6,550
6,564
6,616
6,733
6,747
